"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Sklep"
"C1","1","2.2n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","~"
"C2,C3","2","10p","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~","~"
"C4,C5","2","6p","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~","~"
"C6","1","1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","~"
"C7","1","220n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","~"
"C8","1","10u","","","","Capacitor_SMD:CP_Elec_5x3","~","https://www.tme.eu/pl/details/eee1ha100war/kondensatory-elektrolityczne-smd/panasonic/"
"C9,C10,C11,C12,C13,C14,C15,C16,C19,C20,C21","11","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","~"
"C17,C18","2","100u","","","","Capacitor_SMD:CP_Elec_6.3x3","~","https://www.tme.eu/pl/details/eee0ja101sp/kondensatory-elektrolityczne-smd/panasonic/"
"D1,D2,D3","3","LSR976","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","https://www.mouser.pl/ProductDetail/Wurth-Elektronik/150080VS75000?qs=LlUlMxKIyB0tGHJmO6%2B0ug%3D%3D"
"FB1","1","BLM21BB050SN1","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.tme.eu/pl/details/blm21bb050sn1d/ferryty-koraliki/murata/"
"J1,J3,J8","3","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","~"
"J2","1","Conn_02x01","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","~"
"J4","1","Conn_01x14_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x14_P2.54mm_Vertical","~","~"
"J5","1","Conn_02x03_Top_Bottom","","","","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","~"
"J6,J9","2","Conn_01x04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","~"
"J7","1","USB_B_Micro","","","","CurrentSensingCircuitLib:USB3080-30-00-A","~","https://www.mouser.pl/ProductDetail/GCT/USB3080-30-00-A?qs=KUoIvG%2F9IlZDMJJTQkXE0A%3D%3D"
"J10","1","Conn_01x18_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x18_P2.54mm_Vertical","~","~"
"R1,R20","2","10","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","~"
"R2","1","10M","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","~"
"R3,R12,R14,R18,R19","5","100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","~"
"R4","1","11k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","~"
"R5","1","50","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","~"
"R6","1","510","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","~"
"R7,R8","2","22","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","~"
"R9,R10,R11,R13","4","5.1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","~"
"R15,R16,R17,R21","4","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","~"
"R22,Rmeas1","2","100","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","~"
"R23","1","1.5k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","~"
"R24,R25","2","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","~"
"R26,R27","2","R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","~"
"RV1,RV2,RV3","3","10k","","","","CurrentSensingCircuitLib:1806WSMD","~","https://www.tme.eu/pl/details/1806wsmd-10k/potencjometry-smd-wieloobrotowe/sr-passives/"
"SW1","1","SW_Push","","","","CurrentSensingCircuitLib:TL3305BF160QG","~","https://www.mouser.pl/ProductDetail/E-Switch/TL3305BF100QG?qs=IKkN%2F947nfDIPwqPQja%2BvQ%3D%3D"
"TP1,TP2","2","TestPoint","","","","CurrentSensingCircuitLib:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","~","~"
"U1","1","INA333xxDGK","","","","Package_SO:VSSOP-8_3x3mm_P0.65mm","https://www.ti.com/lit/ds/symlink/ina333.pdf","https://eu.mouser.com/ProductDetail/Texas-Instruments/INA333AIDGKT?qs=nJRxFdq%2BlvZ5bYTj9kAspw%3D%3D"
"U2","1","TLV6001DCK","","","","Package_TO_SOT_SMD:SOT-353_SC-70-5","http://www.ti.com/lit/ds/symlink/tlv6001.pdf","https://www.mouser.pl/ProductDetail/Texas-Instruments/TLV6001IDCKT?qs=8%2Br4Hz5Xir80VprMUL7yYQ%3D%3D&srsltid=AfmBOoogLKcxsCHd2M16mijtyYIf1jFhszR8VflzMI9c2OG9ukO7rgD7"
"U3","1","STM32F103C8Tx","","","","Package_QFP:LQFP-48_7x7mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f103c8.pdf","https://www.mouser.pl/ProductDetail/STMicroelectronics/STM32F103C8T6?qs=bhCVus9SdFtq6kqxsU5%2FDA%3D%3D"
"U4","1","TSV991AILT","","","","CurrentSensingCircuitLib:SOIC127P600X175-8N","","https://www.tme.eu/pl/details/tsv992idt/wzmacniacze-operacyjne-smd/stmicroelectronics/"
"U5","1","LD1117ADT33TR","","","","CurrentSensingCircuitLib:TO228P972X240-3N","https://www.analog.com/media/en/technical-documentation/data-sheets/112935ff.pdf","https://www.mouser.pl/ProductDetail/STMicroelectronics/LD1117ADT33TR?qs=sSwyxX0Tv9fVzC5UBogSJA%3D%3D"
"U6","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","https://www.mouser.pl/ProductDetail/STMicroelectronics/USBLC6-2SC6?qs=po45yt2pPpu%2FhNIlwQdTlg%3D%3D"
"Y1","1","HC49SSDLF-8.00MHz","","","","CurrentSensingCircuitLib:HC49SSDLF800MHZ","~","https://www.mouser.pl/ProductDetail/Fox-Abracon/HC49SSDLF-8.00MHz?qs=zaGjUjd0x6SXDLEDwyM52Q%3D%3D"
"Y2","1","ABS25-32.768KHZ-6-T","","","","CurrentSensingCircuitLib:ABS2532768KHZT","~","https://www.mouser.pl/ProductDetail/ABRACON/ABS25-32.768KHZ-6-T?qs=wl%2FhatdkTudHMJeSjMoOzg%3D%3D"
